name,slug,province,comarca,priority,status,population,lat,lon
Abarca de Campos,abarca-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Abia de las Torres,abia-de-las-torres,Palencia,Tierra de Campos,3,comarca,,,
Amayuelas de Arriba,amayuelas-de-arriba,Palencia,Tierra de Campos,3,comarca,,,
Ampudia,ampudia,Palencia,Tierra de Campos,3,comarca,,,
Amusco,amusco,Palencia,Tierra de Campos,3,comarca,,,
Arconada,arconada,Palencia,Tierra de Campos,3,comarca,,,
Autilla del Pino,autilla-del-pino,Palencia,Tierra de Campos,3,comarca,,,
Autillo de Campos,autillo-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Baquerín de Campos,baquerin-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Becerril de Campos,becerril-de-campos,Palencia,Tierra de Campos,1,piloto,737,42.108333,-4.641667
Belmonte de Campos,belmonte-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Boada de Campos,boada-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Boadilla de Rioseco,boadilla-de-rioseco,Palencia,Tierra de Campos,3,comarca,,,
Boadilla del Camino,boadilla-del-camino,Palencia,Tierra de Campos,3,comarca,,,
Bárcena de Campos,barcena-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Calzada de los Molinos,calzada-de-los-molinos,Palencia,Tierra de Campos,3,comarca,,,
Capillas,capillas,Palencia,Tierra de Campos,3,comarca,,,
Cardeñosa de Volpejera,cardenosa-de-volpejera,Palencia,Tierra de Campos,3,comarca,,,
Carrión de los Condes,carrion-de-los-condes,Palencia,Tierra de Campos,1,piloto,1997,42.338889,-4.601944
Castil de Vela,castil-de-vela,Palencia,Tierra de Campos,3,comarca,,,
Castrillo de Villavega,castrillo-de-villavega,Palencia,Tierra de Campos,3,comarca,,,
Castromocho,castromocho,Palencia,Tierra de Campos,3,comarca,,,
Cervatos de la Cueza,cervatos-de-la-cueza,Palencia,Tierra de Campos,3,comarca,,,
Cisneros,cisneros,Palencia,Tierra de Campos,3,comarca,,,
Frechilla,frechilla,Palencia,Tierra de Campos,3,comarca,,,
Frómista,fromista,Palencia,Tierra de Campos,3,comarca,,,
Fuentes de Nava,fuentes-de-nava,Palencia,Tierra de Campos,1,piloto,581,42.083056,-4.783056
Fuentes de Valdepero,fuentes-de-valdepero,Palencia,Tierra de Campos,3,comarca,,,
Grijota,grijota,Palencia,Tierra de Campos,3,comarca,,,
Guaza de Campos,guaza-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Husillos,husillos,Palencia,Tierra de Campos,3,comarca,,,
Itero de la Vega,itero-de-la-vega,Palencia,Tierra de Campos,3,comarca,,,
Lantadilla,lantadilla,Palencia,Tierra de Campos,3,comarca,,,
Lomas de Campos,lomas-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Manquillos,manquillos,Palencia,Tierra de Campos,3,comarca,,,
Marcilla de Campos,marcilla-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Mazariegos,mazariegos,Palencia,Tierra de Campos,3,comarca,,,
Mazuecos de Valdeginate,mazuecos-de-valdeginate,Palencia,Tierra de Campos,3,comarca,,,
Meneses de Campos,meneses-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Monzón de Campos,monzon-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Moratinos,moratinos,Palencia,Tierra de Campos,3,comarca,,,
Nogal de las Huertas,nogal-de-las-huertas,Palencia,Tierra de Campos,3,comarca,,,
Osornillo,osornillo,Palencia,Tierra de Campos,3,comarca,,,
Osorno,osorno,Palencia,Tierra de Campos,3,comarca,,,
Palencia,palencia,Palencia,Tierra de Campos,3,comarca,,,
Paredes de Nava,paredes-de-nava,Palencia,Tierra de Campos,1,piloto,1927,42.152778,-4.694444
Pedraza de Campos,pedraza-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Perales,perales,Palencia,Tierra de Campos,3,comarca,,,
Piña de Campos,pina-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Población de Arroyo,poblacion-de-arroyo,Palencia,Tierra de Campos,3,comarca,,,
Población de Campos,poblacion-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Pozo de Urama,pozo-de-urama,Palencia,Tierra de Campos,3,comarca,,,
Requena de Campos,requena-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Revenga de Campos,revenga-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Ribas de Campos,ribas-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Riberos de la Cueza,riberos-de-la-cueza,Palencia,Tierra de Campos,3,comarca,,,
San Cebrián de Campos,san-cebrian-de-campos,Palencia,Tierra de Campos,3,comarca,,,
San Mamés de Campos,san-mames-de-campos,Palencia,Tierra de Campos,3,comarca,,,
San Román de la Cuba,san-roman-de-la-cuba,Palencia,Tierra de Campos,3,comarca,,,
Santa Cecilia del Alcor,santa-cecilia-del-alcor,Palencia,Tierra de Campos,3,comarca,,,
Santoyo,santoyo,Palencia,Tierra de Campos,3,comarca,,,
Torremormojón,torremormojon,Palencia,Tierra de Campos,3,comarca,,,
Támara de Campos,tamara-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Valde-Ucieza,valde-ucieza,Palencia,Tierra de Campos,3,comarca,,,
Valle del Retortillo,valle-del-retortillo,Palencia,Tierra de Campos,3,comarca,,,
Villacidaler,villacidaler,Palencia,Tierra de Campos,3,comarca,,,
Villada,villada,Palencia,Tierra de Campos,1,piloto,863,42.25056,-4.96694
Villaherreros,villaherreros,Palencia,Tierra de Campos,3,comarca,,,
Villalcázar de Sirga,villalcazar-de-sirga,Palencia,Tierra de Campos,3,comarca,,,
Villalcón,villalcon,Palencia,Tierra de Campos,3,comarca,,,
Villalobón,villalobon,Palencia,Tierra de Campos,3,comarca,,,
Villamartín de Campos,villamartin-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Villamoronta,villamoronta,Palencia,Tierra de Campos,3,comarca,,,
Villamuera de la Cueza,villamuera-de-la-cueza,Palencia,Tierra de Campos,3,comarca,,,
Villanueva del Rebollar,villanueva-del-rebollar,Palencia,Tierra de Campos,3,comarca,,,
Villarmentero de Campos,villarmentero-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Villarramiel,villarramiel,Palencia,Tierra de Campos,1,piloto,782,42.0425,-4.913056
Villasarracino,villasarracino,Palencia,Tierra de Campos,3,comarca,,,
Villaturde,villaturde,Palencia,Tierra de Campos,3,comarca,,,
Villaumbrales,villaumbrales,Palencia,Tierra de Campos,3,comarca,,,
Villerías de Campos,villerias-de-campos,Palencia,Tierra de Campos,3,comarca,,,
Villoldo,villoldo,Palencia,Tierra de Campos,3,comarca,,,
Villovieco,villovieco,Palencia,Tierra de Campos,3,comarca,,,
Aguilar de Campos,aguilar-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Barcial de la Loma,barcial-de-la-loma,Valladolid,Tierra de Campos,3,comarca,,,
Becilla de Valderaduey,becilla-de-valderaduey,Valladolid,Tierra de Campos,3,comarca,,,
Berrueces,berrueces,Valladolid,Tierra de Campos,3,comarca,,,
Bolaños de Campos,bolanos-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Bustillo de Chaves,bustillo-de-chaves,Valladolid,Tierra de Campos,3,comarca,,,
Cabezón de Valderaduey,cabezon-de-valderaduey,Valladolid,Tierra de Campos,3,comarca,,,
Cabreros del Monte,cabreros-del-monte,Valladolid,Tierra de Campos,3,comarca,,,
Castrobol,castrobol,Valladolid,Tierra de Campos,3,comarca,,,
Castroponce de Valderaduey,castroponce-de-valderaduey,Valladolid,Tierra de Campos,3,comarca,,,
Ceinos de Campos,ceinos-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Cuenca de Campos,cuenca-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Fontihoyuelo,fontihoyuelo,Valladolid,Tierra de Campos,3,comarca,,,
Gatón de Campos,gaton-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Gordaliza de la Loma,gordaliza-de-la-loma,Valladolid,Tierra de Campos,3,comarca,,,
Herrín de Campos,herrin-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
La Unión de Campos,la-union-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Mayorga,mayorga,Valladolid,Tierra de Campos,1,piloto,1354,42.16663,-5.2627
Medina de Rioseco,medina-de-rioseco,Valladolid,Tierra de Campos,1,piloto,4617,41.883056,-5.042778
Melgar de Abajo,melgar-de-abajo,Valladolid,Tierra de Campos,3,comarca,,,
Melgar de Arriba,melgar-de-arriba,Valladolid,Tierra de Campos,3,comarca,,,
Monasterio de Vega,monasterio-de-vega,Valladolid,Tierra de Campos,3,comarca,,,
Montealegre de Campos,montealegre-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Moral de la Reina,moral-de-la-reina,Valladolid,Tierra de Campos,3,comarca,,,
Morales de Campos,morales-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Palazuelo de Vedija,palazuelo-de-vedija,Valladolid,Tierra de Campos,3,comarca,,,
Pozuelo de la Orden,pozuelo-de-la-orden,Valladolid,Tierra de Campos,3,comarca,,,
Quintanilla del Molar,quintanilla-del-molar,Valladolid,Tierra de Campos,3,comarca,,,
Roales de Campos,roales-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Saelices de Mayorga,saelices-de-mayorga,Valladolid,Tierra de Campos,3,comarca,,,
San Pedro de Latarce,san-pedro-de-latarce,Valladolid,Tierra de Campos,3,comarca,,,
Santa Eufemia del Arroyo,santa-eufemia-del-arroyo,Valladolid,Tierra de Campos,3,comarca,,,
Santervás de Campos,santervas-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Tamariz de Campos,tamariz-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Tordehumos,tordehumos,Valladolid,Tierra de Campos,3,comarca,,,
Urones de Castroponce,urones-de-castroponce,Valladolid,Tierra de Campos,3,comarca,,,
Valdunquillo,valdunquillo,Valladolid,Tierra de Campos,3,comarca,,,
Valverde de Campos,valverde-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Vega de Ruiponce,vega-de-ruiponce,Valladolid,Tierra de Campos,3,comarca,,,
Villabaruz de Campos,villabaruz-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villabrágima,villabragima,Valladolid,Tierra de Campos,3,comarca,,,
Villacarralón,villacarralon,Valladolid,Tierra de Campos,3,comarca,,,
Villacid de Campos,villacid-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villafrades de Campos,villafrades-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villafrechós,villafrechos,Valladolid,Tierra de Campos,3,comarca,,,
Villagarcía de Campos,villagarcia-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villagómez la Nueva,villagomez-la-nueva,Valladolid,Tierra de Campos,3,comarca,,,
Villalán de Campos,villalan-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villalba de la Loma,villalba-de-la-loma,Valladolid,Tierra de Campos,3,comarca,,,
Villalón de Campos,villalon-de-campos,Valladolid,Tierra de Campos,1,piloto,1473,42.098449,-5.034713
Villamuriel de Campos,villamuriel-de-campos,Valladolid,Tierra de Campos,3,comarca,,,
Villanueva de la Condesa,villanueva-de-la-condesa,Valladolid,Tierra de Campos,3,comarca,,,
Villanueva de los Caballeros,villanueva-de-los-caballeros,Valladolid,Tierra de Campos,3,comarca,,,
Villanueva de San Mancio,villanueva-de-san-mancio,Valladolid,Tierra de Campos,3,comarca,,,
Villardefrades,villardefrades,Valladolid,Tierra de Campos,3,comarca,,,
Villavicencio de los Caballeros,villavicencio-de-los-caballeros,Valladolid,Tierra de Campos,3,comarca,,,
Belver de los Montes,belver-de-los-montes,Zamora,Tierra de Campos,3,comarca,,,
Castronuevo de los Arcos,castronuevo-de-los-arcos,Zamora,Tierra de Campos,3,comarca,,,
Castroverde de Campos,castroverde-de-campos,Zamora,Tierra de Campos,3,comarca,,,
Cañizo de Campos,canizo-de-campos,Zamora,Tierra de Campos,3,comarca,,,
Cerecinos de Campos,cerecinos-de-campos,Zamora,Tierra de Campos,3,comarca,,,
Cotanes del Monte,cotanes-del-monte,Zamora,Tierra de Campos,3,comarca,,,
Granja de Moreruela,granja-de-moreruela,Zamora,Tierra de Campos,3,comarca,,,
Prado,prado,Zamora,Tierra de Campos,3,comarca,,,
Quintanilla del Monte,quintanilla-del-monte,Zamora,Tierra de Campos,3,comarca,,,
Quintanilla del Olmo,quintanilla-del-olmo,Zamora,Tierra de Campos,3,comarca,,,
Revellinos,revellinos,Zamora,Tierra de Campos,3,comarca,,,
San Agustín del Pozo,san-agustin-del-pozo,Zamora,Tierra de Campos,3,comarca,,,
San Esteban del Molar,san-esteban-del-molar,Zamora,Tierra de Campos,3,comarca,,,
San Martín de Valderaduey,san-martin-de-valderaduey,Zamora,Tierra de Campos,3,comarca,,,
San Miguel del Valle,san-miguel-del-valle,Zamora,Tierra de Campos,3,comarca,,,
Tapioles,tapioles,Zamora,Tierra de Campos,3,comarca,,,
Valdescorriel,valdescorriel,Zamora,Tierra de Campos,3,comarca,,,
Vega de Villalobos,vega-de-villalobos,Zamora,Tierra de Campos,3,comarca,,,
Vidayanes,vidayanes,Zamora,Tierra de Campos,3,comarca,,,
Villafáfila,villafafila,Zamora,Tierra de Campos,3,comarca,,,
Villalba de la Lampreana,villalba-de-la-lampreana,Zamora,Tierra de Campos,3,comarca,,,
Villalobos,villalobos,Zamora,Tierra de Campos,3,comarca,,,
Villalpando,villalpando,Zamora,Tierra de Campos,1,piloto,1433,41.864722,-5.413056
Villamayor de Campos,villamayor-de-campos,Zamora,Tierra de Campos,3,comarca,,,
Villanueva del Campo,villanueva-del-campo,Zamora,Tierra de Campos,3,comarca,,,
Villar de Fallaves,villar-de-fallaves,Zamora,Tierra de Campos,3,comarca,,,
Villárdiga,villardiga,Zamora,Tierra de Campos,3,comarca,,,
Villarrín de Campos,villarrin-de-campos,Zamora,Tierra de Campos,3,comarca,,,
Almanza,almanza,León,Tierra de Campos,3,comarca,,,
Bercianos del Real Camino,bercianos-del-real-camino,León,Tierra de Campos,3,comarca,,,
El Burgo Ranero,el-burgo-ranero,León,Tierra de Campos,3,comarca,,,
Calzada del Coto,calzada-del-coto,León,Tierra de Campos,3,comarca,,,
Campazas,campazas,León,Tierra de Campos,3,comarca,,,
Castilfalé,castilfale,León,Tierra de Campos,3,comarca,,,
Castrotierra de Valmadrigal,castrotierra-de-valmadrigal,León,Tierra de Campos,3,comarca,,,
Cea,cea,León,Tierra de Campos,3,comarca,,,
Escobar de Campos,escobar-de-campos,León,Tierra de Campos,3,comarca,,,
Fuentes de Carbajal,fuentes-de-carbajal,León,Tierra de Campos,3,comarca,,,
Gordaliza del Pino,gordaliza-del-pino,León,Tierra de Campos,3,comarca,,,
Gordoncillo,gordoncillo,León,Tierra de Campos,3,comarca,,,
Grajal de Campos,grajal-de-campos,León,Tierra de Campos,3,comarca,,,
Izagre,izagre,León,Tierra de Campos,3,comarca,,,
Joarilla de las Matas,joarilla-de-las-matas,León,Tierra de Campos,3,comarca,,,
Matanza de los Oteros,matanza-de-los-oteros,León,Tierra de Campos,3,comarca,,,
Sahagún,sahagun,León,Tierra de Campos,1,piloto,2380,42.371111,-5.033056
Valderas,valderas,León,Tierra de Campos,1,piloto,1479,42.0775,-5.4425
Valdemora,valdemora,León,Tierra de Campos,3,comarca,,,
Vallecillo,vallecillo,León,Tierra de Campos,3,comarca,,,
Valverde-Enrique,valverde-enrique,León,Tierra de Campos,3,comarca,,,
Villabraz,villabraz,León,Tierra de Campos,3,comarca,,,
Villamol,villamol,León,Tierra de Campos,3,comarca,,,
Villazanzo de Valderaduey,villazanzo-de-valderaduey,León,Tierra de Campos,3,comarca,,,
